season,home_team,away_team,home_off_rtg,home_def_rtg,away_off_rtg,away_def_rtg,home_pace,away_pace,home_wins
2015-16,LAC,POR,102.6,101.9,106.3,108.5,95.67,98.03,1
2015-16,MIA,CHA,104.4,101.3,98.8,108.1,90.62,91.57,1
2015-16,DAL,OKC,101.7,120.4,111.3,105.8,92.6,95.61,0
2015-16,HOU,GSW,91.4,110.7,109.7,105.1,99.6,97.83,1
2015-16,IND,TOR,103.8,101.9,101.7,106.4,90.43,90.39,0
2015-16,BOS,ATL,94.3,101.2,103.2,104.0,97.72,96.1,1
2015-16,MEM,SAS,89.3,113.2,109.8,100.5,90.88,92.65,0
2015-16,DET,CLE,109.2,119.3,114.6,105.2,86.88,91.4,0
2015-16,DAL,OKC,101.7,120.4,111.3,105.8,92.6,95.61,0
2015-16,IND,TOR,103.8,101.9,101.7,106.4,90.43,90.39,1
2015-16,POR,LAC,106.3,108.5,102.6,101.9,98.03,95.67,1
2015-16,CHA,MIA,98.8,108.1,104.4,101.3,91.57,90.62,1
2015-16,BOS,ATL,94.3,101.2,103.2,104.0,97.72,96.1,1
2015-16,HOU,GSW,91.4,110.7,109.7,105.1,99.6,97.83,0
2015-16,MEM,SAS,89.3,113.2,109.8,100.5,90.88,92.65,0
2015-16,DET,CLE,109.2,119.3,114.6,105.2,86.88,91.4,0
2015-16,POR,LAC,106.3,108.5,102.6,101.9,98.03,95.67,1
2015-16,OKC,DAL,111.3,105.8,101.7,120.4,95.61,92.6,1
2015-16,CHA,MIA,98.8,108.1,104.4,101.3,91.57,90.62,1
2015-16,ATL,BOS,103.2,104.0,94.3,101.2,96.1,97.72,1
2015-16,TOR,IND,101.7,106.4,103.8,101.9,90.39,90.43,1
2015-16,GSW,HOU,109.7,105.1,91.4,110.7,97.83,99.6,1
2015-16,LAC,POR,102.6,101.9,106.3,108.5,95.67,98.03,0
2015-16,MIA,CHA,104.4,101.3,98.8,108.1,90.62,91.57,0
2015-16,BOS,ATL,94.3,101.2,103.2,104.0,97.72,96.1,0
2015-16,IND,TOR,103.8,101.9,101.7,106.4,90.43,90.39,1
2015-16,POR,LAC,106.3,108.5,102.6,101.9,98.03,95.67,1
2015-16,CHA,MIA,98.8,108.1,104.4,101.3,91.57,90.62,0
2015-16,SAS,OKC,109.8,100.5,111.3,105.8,92.65,95.61,1
2015-16,GSW,POR,109.7,105.1,106.3,108.5,97.83,98.03,1
2015-16,MIA,CHA,104.4,101.3,98.8,108.1,90.62,91.57,1
2015-16,TOR,IND,101.7,106.4,103.8,101.9,90.39,90.43,1
2015-16,CLE,ATL,114.6,105.2,103.2,104.0,91.4,96.1,1
2015-16,SAS,OKC,109.8,100.5,111.3,105.8,92.65,95.61,0
2015-16,GSW,POR,109.7,105.1,106.3,108.5,97.83,98.03,1
2015-16,TOR,MIA,101.7,106.4,104.4,101.3,90.39,90.62,0
2015-16,CLE,ATL,114.6,105.2,103.2,104.0,91.4,96.1,1
